"Vertical Axis: Errors [%]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","0",""
"11.3440002780408","0",""
"16.6249997215346","0",""
"21.9370000530034","0",""
"27.3119998164475","0",""
"32.6249996898696","0",""
"37.9219999769703","0",""
"43.2660001097247","0",""
"48.5779998125508","0",""
"53.8909996859729","0",""
"59.219000232406","0",""
"64.5309999352321","0",""
"69.8439998086542","0",""
"74.9060002388433","0",""
"80.2190001122653","0",""
"85.5309998150915","0",""
"90.8439996885136","0",""
"96.1560000199825","0",""
"101.483999937773","0",""
"106.811999855563","0",""
"112.140999943949","0",""
"117.453000275418","0",""
"122.531000291929","0",""
"127.594000264071","0",""
"132.672000280581","0",""
"137.983999983408","0",""
"143.343999702483","0",""
"148.672000248916","0",""
"153.750000265427","0",""
"158.828000281937","0",""
"163.906000298448","0",""
"169.234000216238","0",""
"174.57799972035","0",""
"179.906000266783","0",""
"185.265999985859","0",""
"190.593999903649","0",""
"195.936999865808","0",""
"201.312000257894","0",""
"206.655999762006","0",""
"211.983999679796","0",""
"217.359000071883","0",""
"222.453000303358","0",""
"227.781000221148","0",""
"232.859000237659","0",""
"238.20299974177","0",""
"243.561999918893","0",""
"248.906000051647","0",""
"254.000000283122","0",""
"259.078000299633","0",""
"264.421999803744","0",""
"269.765999936499","0",""
"275.093999854289","0",""
"280.421999772079","0",""
"285.765999904834","0",""
"291.108999866992","0",""
"296.452999999747","0",""
"301.547000231221","0",""
"306.890999735333","0",""
"312.219000281766","0",""
"317.297000298277","0",""
"322.609000001103","0",""
"327.703000232577","0",""
"332.781000249088","0",""
"337.84400022123","0",""
"342.922000237741","0",""
"348.297000001185","0",""
"353.391000232659","0",""
"358.46900024917","0",""
"363.780999951996","0",""
"369.12500008475","0",""
"374.469000217505","0",""
"379.562000278383","0",""
"384.890999738127","0",""
"390.21900028456","0",""
"395.297000301071","0",""
"400.640999805182","0",""
"405.983999767341","0",""
"411.109000258148","0",""
"416.187000274658","0",""
"421.515999734402","0",""
"426.85899969656","0",""
"432.187000242993","0",""
"437.515999702737","0",""
"442.84400024917","0",""
"448.20299979765","0",""
"453.53099971544","0",""
"458.859000261873","0",""
"464.202999765985","0",""
"469.546999898739","0",""
"474.874999816529","0",""
"480.20299973432","0",""
"485.516000236385","0",""
"490.594000252895","0",""
"495.937000215054","0",""
"501.296999934129","0",""
"506.641000066884","0",""
"511.968999984674","0",""
"517.343999748118","0",""
"522.686999710277","0",""
"528.030999843031","0",""
"533.14100028947","0",""
"538.21900030598","0",""
"543.562000268139","0",""
"548.905999772251","0",""
"554.031000263058","0",""
"559.109000279568","0",""
"564.17200025171","0",""
"569.250000268221","0",""
"574.328000284731","0",""
"579.406000301242","0",""
"584.734000219032","0",""
"590.077999723144","0",""
"595.406000269577","0",""
