"Vertical Axis: Open Requests","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"6.0973484060125","1",""
"11.3804572927565","1",""
"16.6905481003871","2",""
"22.0610558045785","2",""
"27.3753680984594","2",""
"32.6845182837484","2",""
"38.0240843459155","2",""
"43.3286389750653","3",""
"48.6398508749017","3",""
"53.972143666304","2",""
"59.2876284555719","3",""
"64.5997871237825","3",""
"69.9129171444974","3",""
"74.9727624600333","4",""
"80.2828261692478","4",""
"85.6082446232692","3",""
"90.9102520013018","4",""
"96.2353405251226","3",""
"101.564610306617","5",""
"106.898984368125","5",""
"112.219082592899","6",""
"117.532573832708","7",""
"122.600538615941","7",""
"127.684832290137","9",""
"132.748045072768","11",""
"138.100666425481","10",""
"143.436485363363","6",""
"148.761311842706","7",""
"153.840646786114","6",""
"158.919027138924","9",""
"163.996786183719","11",""
"169.339798493943","9",""
"174.672802269562","10",""
"180.02256236477","11",""
"185.353241543269","11",""
"190.697484456823","11",""
"196.076855019283","13",""
"201.421570897977","15",""
"206.753851397314","15",""
"212.123650072844","17",""
"217.460599042616","17",""
"222.542425643483","19",""
"227.875895400114","20",""
"232.95751499143","21",""
"238.324240091967","21",""
"243.669174713546","23",""
"249.01274743019","24",""
"254.091057662357","25",""
"259.183314359786","27",""
"264.52930609896","28",""
"269.861516757018","29",""
"275.189416531989","31",""
"280.533870366206","31",""
"285.872249126635","33",""
"291.220700675645","35",""
"296.565858789315","35",""
"301.653916629069","37",""
"306.98666981418","37",""
"312.315523621019","37",""
"317.383168531196","40",""
"322.720636561351","41",""
"327.801929016118","41",""
"332.863846662076","42",""
"337.944493504063","43",""
"343.064167652593","46",""
"348.404197740216","46",""
"353.48548237276","47",""
"358.55291608291","48",""
"363.898135656906","49",""
"369.229935089516","51",""
"374.58069614993","50",""
"379.656530927813","53",""
"384.993485484887","54",""
"390.322730123521","54",""
"395.413320966771","55",""
"400.760299144165","57",""
"406.126273870003","57",""
"411.204461181519","60",""
"416.286655985607","60",""
"421.631874721508","61",""
"426.958604515378","62",""
"432.294244380222","63",""
"437.622702326692","63",""
"442.972951869581","66",""
"448.303275695654","67",""
"453.638815547786","69",""
"458.966243475079","66",""
"464.317579189534","70",""
"469.653319067088","71",""
"474.982899781956","71",""
"480.295867491539","73",""
"485.624213691964","74",""
"490.70319356231","73",""
"496.076248517619","74",""
"501.417057475182","74",""
"506.745728018505","74",""
"512.109401334527","73",""
"517.465175601927","73",""
"522.807958274026","75",""
"528.155215816535","72",""
"533.243901389702","73",""
"538.33130132461","73",""
"543.677963260694","71",""
"549.047263548859","74",""
"554.141131624271","72",""
"559.202812927341","74",""
"564.273391729954","75",""
"569.356885302462","73",""
"574.43297374387","73",""
"579.516348027473","73",""
"584.847868933063","74",""
"590.182040454862","41",""
"595.541931167229","72",""
