"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","1","0"
"5.78200004529208","1","2"
"10.8600000618026","1","3"
"15.9380000783131","1","4"
"21.0629999404773","1","5"
"26.1879998026416","1","6"
"31.3130002934486","1","7"
"36.4380001556128","1","8"
"41.6570003377274","1","9"
"46.7970002442598","1","10"
"51.9070000620559","1","11"
"57.1250000735745","1","12"
"62.2660001507029","1","13"
"67.4070002278313","1","14"
"72.6100001949817","1","16"
"77.8439997928217","1","17"
"83.0940002342686","1","18"
"88.3909998927265","1","19"
"93.5630002291873","1","20"
"98.7969998270273","1","21"
"104.110000329092","1","22"
"109.313000296243","1","23"
"114.73499990534","1","24"
"120.032000192441","1","25"
"125.391000369564","1","27"
"130.719000287354","1","28"
"136.015999945812","1","29"
"141.328999819234","1","30"
"146.73499984201","1","31"
"152.032000129111","1","32"
"157.421999936923","1","33"
"162.734999810345","1","34"
"168.0789999431","1","35"
"173.360000015236","1","37"
"178.657000302337","1","38"
"183.890999900177","1","39"
"189.296999922954","1","40"
"194.499999890104","1","41"
"199.82899997849","1","42"
"205.093999835663","1","43"
"210.547000332735","1","44"
"215.79700014554","1","45"
"221.171999908984","1","47"
"226.516000041738","1","48"
"231.875000218861","1","49"
"237.079000356607","1","50"
"242.547000269406","1","51"
"247.828999883495","1","52"
"253.204000275582","1","53"
"258.594000083394","1","54"
"263.843999896199","1","55"
"269.188000028953","1","57"
"274.390999996103","1","58"
"279.828999820165","1","59"
"285.329000162892","1","60"
"290.672000125051","1","61"
"295.906999893487","1","62"
"301.219000224955","1","63"
"306.547000142746","1","64"
"312.04699985683","1","65"
"317.312999884598","1","67"
"322.703999863006","1","68"
"327.969000348821","1","69"
"333.23500037659","1","70"
"338.515999820083","1","71"
"343.969000317156","1","72"
"349.282000190578","1","73"
"354.641000367701","1","74"
"360.187999927439","1","75"
"365.672000055201","1","77"
"371.124999923632","1","78"
"376.657000067644","1","79"
"382.109999936074","1","80"
"387.594000063837","1","81"
"392.968999827281","1","82"
"398.374999850057","1","83"
"403.797000087798","1","85"
"409.07900033053","1","86"
"414.374999818392","1","87"
"419.688000320457","1","88"
"425.157000403851","1","89"
"430.50000036601","1","90"
"435.828999825753","1","91"
"441.157000372186","1","92"
"446.625000284985","1","93"
"452.016000263393","1","95"
"457.391000026837","1","96"
"462.843999895267","1","97"
"468.204000242986","1","98"
"473.500000359491","1","99"
"479.000000073574","1","100"
"484.422000311315","1","100"
"489.735000184737","1","100"
"495.031999843195","1","100"
"500.391000020318","1","100"
"505.797000043094","1","100"
"511.171999806538","1","100"
"516.515999939293","1","100"
"521.860000072047","1","100"
"527.141000144184","1","100"
"532.407000171952","1","100"
"537.718999874778","1","100"
"543.046999792568","1","100"
"548.438000399619","1","100"
"554.000000003725","1","100"
"559.437999827787","1","100"
"564.906999911182","1","100"
"570.157000352629","1","100"
"575.500000314787","1","100"
"580.875000078231","1","100"
"586.234999797307","1","100"
"591.640999820083","1","100"
"597.063000057824","1","100"
