"Vertical Axis: Click Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","0","0"
"5.28100007213652","0","2"
"10.3750003036112","0","3"
"15.4530003201216","0","4"
"20.5780001822859","0","5"
"25.688000000082","0","6"
"30.8129998622462","0","7"
"35.9380003530532","0","8"
"41.0630002152175","0","9"
"46.2190003367141","0","10"
"51.374999829568","0","11"
"56.5159999066964","0","12"
"61.6409997688606","0","13"
"66.7969998903573","0","14"
"71.969000226818","0","15"
"77.1090001333505","0","17"
"82.2339999955148","0","18"
"87.4060003319755","0","19"
"92.6090002991259","0","20"
"97.7500003762543","0","21"
"102.905999869108","0","22"
"108.141000266187","0","23"
"113.374999864027","0","24"
"118.562999786809","0","25"
"123.828000272624","0","26"
"129.031000239775","0","27"
"134.281000052579","0","28"
"139.484000019729","0","30"
"144.671999942511","0","31"
"149.999999860302","0","32"
"155.26599988807","0","33"
"160.546999960206","0","34"
"165.781000186689","0","35"
"171.030999999493","0","36"
"176.328000286594","0","37"
"181.609000358731","0","38"
"186.875000386499","0","39"
"192.172000044957","0","40"
"197.391000227071","0","42"
"202.687999885529","0","43"
"207.89099985268","0","44"
"213.156000338495","0","45"
"218.469000211917","0","46"
"223.797000129707","0","47"
"229.093999788165","0","48"
"234.422000334598","0","49"
"239.813000313006","0","50"
"245.078000170179","0","52"
"250.406000087969","0","53"
"255.734000005759","0","54"
"261.03100029286","0","55"
"266.406000056304","0","56"
"271.718999929726","0","57"
"276.983999786898","0","58"
"282.359000178985","0","59"
"287.593999947421","0","60"
"292.953000124544","0","61"
"298.297000257298","0","63"
"303.563000285067","0","64"
"308.781000296585","0","65"
"314.077999955043","0","66"
"319.468999933451","0","67"
"324.813000066206","0","68"
"330.124999769032","0","69"
"335.453000315465","0","70"
"340.781000233255","0","71"
"346.094000106677","0","73"
"351.48399991449","0","74"
"356.766000157222","0","75"
"362.094000075012","0","76"
"367.453000252135","0","77"
"372.859000274912","0","78"
"378.218999993987","0","79"
"383.500000066124","0","80"
"388.827999983914","0","81"
"394.250000221655","0","83"
"399.624999985099","0","84"
"404.891000012867","0","85"
"410.233999975026","0","86"
"415.656000212766","0","87"
"420.922000240535","0","88"
"426.266000373289","0","89"
"431.671999767423","0","90"
"437.030999944545","0","91"
"442.453000182286","0","93"
"447.891000006348","0","94"
"453.203000337817","0","95"
"458.563000056893","0","96"
"463.890999974683","0","97"
"469.26600036677","0","98"
"474.546999810264","0","99"
"479.969000048004","0","100"
"485.358999855816","0","100"
"490.766000049189","0","100"
"496.155999857001","0","100"
"501.531000249088","0","100"
"506.875000381842","0","100"
"512.26600036025","0","100"
"517.62499990873","0","100"
"523.077999777161","0","100"
"528.391000279225","0","100"
"533.749999827705","0","100"
"539.125000219792","0","100"
"544.5160001982","0","100"
"549.890999961644","0","100"
"555.296999984421","0","100"
"560.624999902211","0","100"
"566.063000354916","0","100"
"571.6090003727","0","100"
"576.906000031158","0","100"
"582.500000065193","0","100"
"587.952999933623","0","100"
"593.391000386328","0","100"
"598.796999780461","0","100"
