"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","0",""
"10.3750003036112","0",""
"15.4530003201216","0",""
"20.5780001822859","0",""
"25.688000000082","0",""
"30.8129998622462","0",""
"35.9380003530532","0",""
"41.0630002152175","0",""
"46.2190003367141","0",""
"51.374999829568","0",""
"56.5159999066964","0",""
"61.6409997688606","0",""
"66.7969998903573","0",""
"71.969000226818","0",""
"77.1090001333505","0",""
"82.2339999955148","0",""
"87.4060003319755","0",""
"92.6090002991259","0",""
"97.7500003762543","0",""
"102.905999869108","0",""
"108.141000266187","0",""
"113.374999864027","0",""
"118.562999786809","0",""
"123.828000272624","0",""
"129.031000239775","0",""
"134.281000052579","0",""
"139.484000019729","0",""
"144.671999942511","0",""
"149.999999860302","0",""
"155.26599988807","0",""
"160.546999960206","0",""
"165.781000186689","0",""
"171.030999999493","0",""
"176.328000286594","0",""
"181.609000358731","0",""
"186.875000386499","0",""
"192.172000044957","0",""
"197.391000227071","0",""
"202.687999885529","0",""
"207.89099985268","0",""
"213.156000338495","0",""
"218.469000211917","0",""
"223.797000129707","0",""
"229.093999788165","0",""
"234.422000334598","0",""
"239.813000313006","0",""
"245.078000170179","0",""
"250.406000087969","0",""
"255.734000005759","0",""
"261.03100029286","0",""
"266.406000056304","0",""
"271.718999929726","0",""
"276.983999786898","0",""
"282.359000178985","0",""
"287.593999947421","0",""
"292.953000124544","0",""
"298.297000257298","0",""
"303.563000285067","0",""
"308.781000296585","0",""
"314.077999955043","0",""
"319.468999933451","0",""
"324.813000066206","0",""
"330.124999769032","0",""
"335.453000315465","0",""
"340.781000233255","0",""
"346.094000106677","0",""
"351.48399991449","0",""
"356.766000157222","0",""
"362.094000075012","0",""
"367.453000252135","0",""
"372.859000274912","0",""
"378.218999993987","0",""
"383.500000066124","0",""
"388.827999983914","0",""
"394.250000221655","0",""
"399.624999985099","0",""
"404.891000012867","0",""
"410.233999975026","0",""
"415.656000212766","0",""
"420.922000240535","0",""
"426.266000373289","0",""
"431.671999767423","0",""
"437.030999944545","0",""
"442.453000182286","0",""
"447.891000006348","0",""
"453.203000337817","0",""
"458.563000056893","0",""
"463.890999974683","0",""
"469.26600036677","0",""
"474.546999810264","0",""
"479.969000048004","0",""
"485.358999855816","0",""
"490.766000049189","0",""
"496.155999857001","0",""
"501.531000249088","0",""
"506.875000381842","0",""
"512.26600036025","0",""
"517.62499990873","0",""
"523.077999777161","0",""
"528.391000279225","0",""
"533.749999827705","0",""
"539.125000219792","0",""
"544.5160001982","0",""
"549.890999961644","0",""
"555.296999984421","0",""
"560.624999902211","0",""
"566.063000354916","0",""
"571.6090003727","0",""
"576.906000031158","0",""
"582.500000065193","0",""
"587.952999933623","0",""
"593.391000386328","0",""
"598.796999780461","0",""
